time,magnitude,latitude,longitude,county,state
"November 17, 2024 at 10:25:12 PM",2.36,34.5183333,-118.1008333,Los Angeles County,California
"November 17, 2024 at 10:20:54 PM",1.98,33.978,-118.8926667,N/A,N/A
"November 17, 2024 at 10:17:54 PM",0.65,33.5065,-116.7615,Riverside County,California
"November 17, 2024 at 10:17:50 PM",1.19,33.7891655,-116.8171692,Riverside County,California
"November 17, 2024 at 09:57:54 PM",1.38,34.1388333,-117.4958333,San Bernardino County,California
"November 17, 2024 at 09:57:45 PM",3.8,52.284,-170.0985,N/A,N/A
"November 17, 2024 at 09:57:11 PM",5,-34.4968,55.1765,N/A,N/A
"November 17, 2024 at 09:52:00 PM",1.69,38.8160018920898,-122.795333862305,Sonoma County,California
"November 17, 2024 at 09:49:32 PM",1.52,34.517,-118.1,Los Angeles County,California
"November 17, 2024 at 09:44:35 PM",2.43,17.9726666666667,-67.1141666666667,Cabo Rojo,Puerto Rico
"November 17, 2024 at 09:39:16 PM",1.48,39.6708335876465,-123.539001464844,Mendocino County,California
